time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,magnet_x,magnet_y,magnet_z,rv_w,rv_x,rv_y,rv_z
88148569661528,-1.250848,0.9634102,9.999007,-0.92255855,0.7790053,-0.37797257,-16.525,33.875,-54.075,0.9787272,0.12623127,0.09218022,-0.1328968
88148590650486,-1.6417755,0.8679964,8.5067835,-0.47632182,0.44257152,-0.12400555,-16.35,33.975002,-54.0625,0.9799091,0.11879844,0.09918752,-0.12580518
88148610616528,-1.3749757,1.3770695,7.6019974,-0.17119485,-0.0923933,0.17623448,-16.112501,34.15,-54.025,0.9799091,0.11879844,0.09918752,-0.12580518
88148633475903,-0.36370903,2.5022943,7.522137,-0.14019346,-1.104749,0.19868377,-15.675,34.625,-53.9,0.9831162,0.11465353,0.08291684,-0.116025314
88148656726476,-0.42921257,2.2325034,6.7785673,-0.4865538,-1.3005311,0.054825112,-15.6,34.9625,-53.8,0.984734,0.108894385,0.071333155,-0.11555346
88148676239444,-0.59940207,1.8741783,6.8895345,-1.0855067,-1.4488186,0.0015271619,-15.6125,35.3125,-53.625,0.9867254,0.096741706,0.05832496,-0.11667157
88148698355694,-0.45164528,1.931307,7.9313097,-1.6400192,-1.5861104,0.051159926,-15.8125,35.7375,-53.325,0.9888195,0.07971247,0.045107085,-0.11767471
88148718091163,0.0062811594,2.018944,9.543773,-1.9439244,-1.7508912,0.08628465,-16.2625,36.225002,-52.787502,0.99109364,0.05822357,0.029972177,-0.11595292
88148738065174,-0.24945176,2.3347967,11.378469,-1.9617922,-1.735925,0.08811724,-16.95,36.8125,-52.075,0.9924051,0.036770124,0.014999257,-0.11642628
88148758775330,0.024825536,2.399702,11.476276,-1.7580688,-1.2805253,0.20570871,-17.7875,37.5125,-51.2375,0.99305296,0.010929214,8.097229E-4,-0.117156595
88148778435747,0.33230326,2.0036898,10.675578,-1.4888302,-1.0109812,0.38927358,-18.7125,38.3875,-50.125,0.9935564,-0.004148595,-0.0074502905,-0.11301753
88148798551476,0.91615194,1.3345969,10.193126,-1.3749039,-1.0068579,0.5737547,-19.612501,39.412502,-48.875,0.99398494,-0.019427216,-0.016553925,-0.10650144
88148818968403,1.434198,-0.11485548,10.789836,-1.543808,-1.0109812,0.9062179,-20.425001,40.4875,-47.5125,0.99406046,-0.036060777,-0.025833089,-0.099378504
88148840303455,1.6196418,-1.8125632,12.651751,-1.4559962,-0.46838057,1.0021237,-21.1375,41.6375,-46.125,0.99380213,-0.051242933,-0.029435657,-0.09415484
88148865188559,1.8287147,-1.4464613,14.140984,-0.99830574,-0.48884454,0.8512401,-21.975,43.8875,-43.4375,0.9939518,-0.06336978,-0.03233988,-0.08365576
